time_step,total_population,resource_concentration,mutation_frequency,cooperation_index,competition_index,genotype_A_density,genotype_A'_density,genotype_A''_density,genotype_A'''_density,genotype_A''''_density,genotype_A'''''_density,genotype_A''''''_density,genotype_A'''''''_density,genotype_A''''''''_density,genotype_A'''''''''_density,genotype_A''''''''''_density,genotype_A'''''''''''_density,genotype_A''''''''''''_density,genotype_A'''''''''''''_density,genotype_A''''''''''''''_density,genotype_A'''''''''''''''_density,genotype_A''''''''''''''''_density,genotype_A'''''''''''''''''_density,genotype_A''''''''''''''''''_density,genotype_A'''''''''''''''''''_density,genotype_A''''''''''''''''''''_density,genotype_A'''''''''''''''''''''_density
120,204,0,13,2.04,4.08,,0.00980392156862745,0.00980392156862745,0.0784313725490196,0.1323529411764706,0.18137254901960784,0.16666666666666666,0.12254901960784313,0.12745098039215685,0.07352941176470588,0.049019607843137254,0.03431372549019608,0.00980392156862745,,,0.004901960784313725,,,,,,
121,204,0,13,2.04,4.08,,0.004901960784313725,0.014705882352941176,0.07352941176470588,0.12745098039215685,0.18137254901960784,0.16666666666666666,0.12745098039215685,0.12254901960784313,0.08333333333333333,0.049019607843137254,0.029411764705882353,0.014705882352941176,,,0.004901960784313725,,,,,,
122,203,0,14,2.0300000000000002,4.0600000000000005,,0.0049261083743842365,0.014778325123152709,0.06896551724137931,0.12807881773399016,0.18226600985221675,0.16748768472906403,0.12315270935960591,0.12807881773399016,0.06896551724137931,0.06403940886699508,0.024630541871921183,0.014778325123152709,0.0049261083743842365,,0.0049261083743842365,,,,,,
123,203,0,14,2.0300000000000002,4.0600000000000005,,0.0049261083743842365,0.009852216748768473,0.07389162561576355,0.12315270935960591,0.18719211822660098,0.15763546798029557,0.1330049261083744,0.12315270935960591,0.07389162561576355,0.059113300492610835,0.024630541871921183,0.019704433497536946,0.0049261083743842365,,0.0049261083743842365,,,,,,
124,202,0,13,2.02,4.04,,,0.009900990099009901,0.07425742574257425,0.12376237623762376,0.18316831683168316,0.1485148514851485,0.1485148514851485,0.11386138613861387,0.08415841584158416,0.0594059405940594,0.024752475247524754,0.019801980198019802,0.0049504950495049506,,0.0049504950495049506,,,,,,
125,202,0,13,2.02,4.04,,,0.009900990099009901,0.07425742574257425,0.1188118811881188,0.17326732673267325,0.15346534653465346,0.14356435643564355,0.12376237623762376,0.08415841584158416,0.0594059405940594,0.0297029702970297,0.019801980198019802,0.0049504950495049506,,0.0049504950495049506,,,,,,
126,200,0,13,2.0,4.0,,,0.01,0.065,0.12,0.165,0.165,0.15,0.11,0.095,0.05,0.04,0.02,0.005,,0.005,,,,,,
127,200,0,13,2.0,4.0,,,0.01,0.065,0.11,0.16,0.175,0.15,0.11,0.1,0.05,0.035,0.025,0.005,,0.005,,,,,,
128,199,0,13,1.99,3.98,,,0.010050251256281407,0.06532663316582915,0.10552763819095477,0.15577889447236182,0.18592964824120603,0.1457286432160804,0.11055276381909548,0.10050251256281408,0.04522613065326633,0.04020100502512563,0.02512562814070352,0.005025125628140704,,0.005025125628140704,,,,,,
129,197,0,13,1.97,3.94,,,0.01015228426395939,0.06598984771573604,0.09644670050761421,0.15736040609137056,0.18781725888324874,0.14720812182741116,0.10152284263959391,0.10152284263959391,0.05583756345177665,0.04060913705583756,0.025380710659898477,0.005076142131979695,,0.005076142131979695,,,,,,
130,197,0,13,1.97,3.94,,,0.01015228426395939,0.05583756345177665,0.10152284263959391,0.15736040609137056,0.18781725888324874,0.14213197969543148,0.1116751269035533,0.10152284263959391,0.05583756345177665,0.03553299492385787,0.030456852791878174,0.005076142131979695,,,0.005076142131979695,,,,,
131,197,0,13,1.97,3.94,,,0.01015228426395939,0.050761421319796954,0.10152284263959391,0.15228426395939088,0.19289340101522842,0.14720812182741116,0.1116751269035533,0.10152284263959391,0.050761421319796954,0.04060913705583756,0.030456852791878174,0.005076142131979695,,,0.005076142131979695,,,,,
132,197,0,12,1.97,3.94,,,,0.06091370558375635,0.09137055837563451,0.14720812182741116,0.20304568527918782,0.14720812182741116,0.1116751269035533,0.1065989847715736,0.050761421319796954,0.04060913705583756,0.025380710659898477,0.01015228426395939,,,0.005076142131979695,,,,,
133,196,0,12,1.96,3.92,,,,0.05612244897959184,0.09693877551020408,0.12755102040816327,0.2193877551020408,0.12755102040816327,0.1377551020408163,0.10204081632653061,0.05102040816326531,0.04081632653061224,0.02040816326530612,0.015306122448979591,,,0.00510204081632653,,,,,
134,195,0,13,1.95,3.9,,,,0.05128205128205128,0.09230769230769231,0.13333333333333333,0.2205128205128205,0.1282051282051282,0.13333333333333333,0.1076923076923077,0.046153846153846156,0.046153846153846156,0.020512820512820513,0.010256410256410256,0.005128205128205128,,0.005128205128205128,,,,,
135,195,0,13,1.95,3.9,,,,0.05128205128205128,0.09230769230769231,0.1282051282051282,0.2153846153846154,0.13333333333333333,0.1282051282051282,0.11282051282051282,0.046153846153846156,0.046153846153846156,0.020512820512820513,0.015384615384615385,0.005128205128205128,,0.005128205128205128,,,,,
136,195,0,13,1.95,3.9,,,,0.05128205128205128,0.08717948717948718,0.13333333333333333,0.20512820512820512,0.13846153846153847,0.1282051282051282,0.10256410256410256,0.05641025641025641,0.05128205128205128,0.020512820512820513,0.015384615384615385,0.005128205128205128,,0.005128205128205128,,,,,
137,194,0,13,1.94,3.88,,,,0.04639175257731959,0.09278350515463918,0.12886597938144329,0.1958762886597938,0.13917525773195877,0.12371134020618557,0.1134020618556701,0.05154639175257732,0.061855670103092786,0.015463917525773196,0.020618556701030927,0.005154639175257732,,0.005154639175257732,,,,,
138,194,0,13,1.94,3.88,,,,0.04639175257731959,0.09278350515463918,0.10824742268041238,0.20618556701030927,0.13917525773195877,0.12886597938144329,0.11855670103092783,0.05154639175257732,0.061855670103092786,0.015463917525773196,0.020618556701030927,0.005154639175257732,,0.005154639175257732,,,,,
139,193,0,13,1.93,3.86,,,,0.046632124352331605,0.08808290155440414,0.10362694300518134,0.19689119170984457,0.14507772020725387,0.13989637305699482,0.11917098445595854,0.046632124352331605,0.06735751295336788,0.015544041450777202,0.02072538860103627,0.0051813471502590676,,0.0051813471502590676,,,,,
140,193,0,13,1.93,3.86,,,,0.03626943005181347,0.09844559585492228,0.09844559585492228,0.19689119170984457,0.14507772020725387,0.14507772020725387,0.11398963730569948,0.046632124352331605,0.07253886010362694,0.015544041450777202,0.02072538860103627,0.0051813471502590676,,0.0051813471502590676,,,,,
141,193,0,13,1.93,3.86,,,,0.025906735751295335,0.09844559585492228,0.09844559585492228,0.19689119170984457,0.14507772020725387,0.13471502590673576,0.12953367875647667,0.05181347150259067,0.06735751295336788,0.02072538860103627,0.02072538860103627,,0.0051813471502590676,0.0051813471502590676,,,,,
142,191,0,13,1.9100000000000001,3.8200000000000003,,,,0.02617801047120419,0.09947643979057591,0.09424083769633508,0.20418848167539266,0.14136125654450263,0.13089005235602094,0.13612565445026178,0.04712041884816754,0.07329842931937172,0.020942408376963352,0.015706806282722512,,0.005235602094240838,0.005235602094240838,,,,,
143,190,0,13,1.9000000000000001,3.8000000000000003,,,,0.02631578947368421,0.1,0.09473684210526316,0.18947368421052632,0.14736842105263157,0.12631578947368421,0.14736842105263157,0.04736842105263158,0.07368421052631578,0.021052631578947368,0.015789473684210527,,0.005263157894736842,0.005263157894736842,,,,,
144,189,0,12,1.8900000000000001,3.7800000000000002,,,,0.021164021164021163,0.10052910052910052,0.10052910052910052,0.17989417989417988,0.15343915343915343,0.13227513227513227,0.13756613756613756,0.05291005291005291,0.0582010582010582,0.037037037037037035,0.015873015873015872,,,0.010582010582010581,,,,,
145,189,0,13,1.8900000000000001,3.7800000000000002,,,,0.015873015873015872,0.10582010582010581,0.09523809523809523,0.17989417989417988,0.15343915343915343,0.13227513227513227,0.13227513227513227,0.06349206349206349,0.047619047619047616,0.042328042328042326,0.015873015873015872,0.005291005291005291,,0.010582010582010581,,,,,
146,189,0,13,1.8900000000000001,3.7800000000000002,,,,0.015873015873015872,0.10052910052910052,0.09523809523809523,0.15343915343915343,0.1746031746031746,0.13756613756613756,0.13227513227513227,0.06349206349206349,0.05291005291005291,0.042328042328042326,0.010582010582010581,0.010582010582010581,,0.010582010582010581,,,,,
147,189,0,15,1.8900000000000001,3.7800000000000002,,,,0.015873015873015872,0.09523809523809523,0.08465608465608465,0.15873015873015872,0.17989417989417988,0.12698412698412698,0.13227513227513227,0.07407407407407407,0.0582010582010582,0.042328042328042326,0.010582010582010581,0.005291005291005291,0.005291005291005291,0.005291005291005291,0.005291005291005291,,,,
148,189,0,14,1.8900000000000001,3.7800000000000002,,,,0.015873015873015872,0.08994708994708994,0.07407407407407407,0.1693121693121693,0.1746031746031746,0.13756613756613756,0.12698412698412698,0.07407407407407407,0.0582010582010582,0.042328042328042326,0.015873015873015872,,0.010582010582010581,0.005291005291005291,,0.005291005291005291,,,
149,188,0,14,1.8800000000000001,3.7600000000000002,,,,0.015957446808510637,0.07446808510638298,0.09042553191489362,0.14893617021276595,0.17553191489361702,0.15425531914893617,0.12234042553191489,0.0797872340425532,0.05319148936170213,0.047872340425531915,0.015957446808510637,,0.010638297872340425,0.005319148936170213,,,0.005319148936170213,,
150,188,0,14,1.8800000000000001,3.7600000000000002,,,,0.015957446808510637,0.07446808510638298,0.09042553191489362,0.14361702127659576,0.15425531914893617,0.1702127659574468,0.12234042553191489,0.07446808510638298,0.06382978723404255,0.05319148936170213,0.015957446808510637,,0.010638297872340425,0.005319148936170213,,,0.005319148936170213,,
151,188,0,15,1.8800000000000001,3.7600000000000002,,,,0.015957446808510637,0.07446808510638298,0.09042553191489362,0.13297872340425532,0.1595744680851064,0.16489361702127658,0.1276595744680851,0.07446808510638298,0.06914893617021277,0.05319148936170213,0.015957446808510637,,0.005319148936170213,0.005319148936170213,0.005319148936170213,,0.005319148936170213,,
152,188,0,15,1.8800000000000001,3.7600000000000002,,,,0.010638297872340425,0.0797872340425532,0.09042553191489362,0.12234042553191489,0.15425531914893617,0.1702127659574468,0.1276595744680851,0.0797872340425532,0.07446808510638298,0.05319148936170213,0.015957446808510637,,0.005319148936170213,0.005319148936170213,,0.005319148936170213,0.005319148936170213,,
153,188,0,15,1.8800000000000001,3.7600000000000002,,,,0.010638297872340425,0.07446808510638298,0.09042553191489362,0.12234042553191489,0.15425531914893617,0.16489361702127658,0.13297872340425532,0.07446808510638298,0.0851063829787234,0.0425531914893617,0.026595744680851064,,0.005319148936170213,0.005319148936170213,,0.005319148936170213,0.005319148936170213,,
154,188,0,15,1.8800000000000001,3.7600000000000002,,,,0.005319148936170213,0.06382978723404255,0.09574468085106383,0.12234042553191489,0.15425531914893617,0.1702127659574468,0.13829787234042554,0.07446808510638298,0.0851063829787234,0.0425531914893617,0.026595744680851064,,0.005319148936170213,0.005319148936170213,,0.005319148936170213,0.005319148936170213,,
155,188,0,16,1.8800000000000001,3.7600000000000002,,,,0.005319148936170213,0.05851063829787234,0.09574468085106383,0.12234042553191489,0.14893617021276595,0.18085106382978725,0.12234042553191489,0.09042553191489362,0.0851063829787234,0.0425531914893617,0.02127659574468085,0.005319148936170213,0.005319148936170213,,0.005319148936170213,0.005319148936170213,0.005319148936170213,,
156,187,0,16,1.87,3.74,,,,0.0053475935828877,0.058823529411764705,0.0962566844919786,0.11764705882352941,0.1497326203208556,0.1711229946524064,0.13368983957219252,0.0855614973262032,0.0855614973262032,0.0481283422459893,0.0213903743315508,0.0053475935828877,0.0053475935828877,,0.0053475935828877,0.0053475935828877,0.0053475935828877,,
157,187,0,16,1.87,3.74,,,,0.0053475935828877,0.0481283422459893,0.10160427807486631,0.11229946524064172,0.1497326203208556,0.1657754010695187,0.13903743315508021,0.09090909090909091,0.09090909090909091,0.0427807486631016,0.026737967914438502,0.0053475935828877,0.0053475935828877,,0.0053475935828877,0.0053475935828877,0.0053475935828877,,
158,186,0,16,1.86,3.72,,,,0.005376344086021506,0.043010752688172046,0.10752688172043011,0.10752688172043011,0.14516129032258066,0.17204301075268819,0.11290322580645161,0.11827956989247312,0.08064516129032258,0.053763440860215055,0.026881720430107527,0.005376344086021506,0.005376344086021506,,0.005376344086021506,0.005376344086021506,0.005376344086021506,,
159,186,0,16,1.86,3.72,,,,0.005376344086021506,0.043010752688172046,0.0913978494623656,0.11827956989247312,0.13978494623655913,0.17204301075268819,0.12365591397849462,0.10752688172043011,0.08602150537634409,0.053763440860215055,0.03225806451612903,0.005376344086021506,0.005376344086021506,,0.005376344086021506,0.005376344086021506,,0.005376344086021506,
160,186,0,16,1.86,3.72,,,,0.005376344086021506,0.043010752688172046,0.0913978494623656,0.11290322580645161,0.14516129032258066,0.16129032258064516,0.12903225806451613,0.10215053763440861,0.0967741935483871,0.04838709677419355,0.03763440860215054,0.005376344086021506,0.005376344086021506,,0.005376344086021506,0.005376344086021506,,0.005376344086021506,
161,186,0,16,1.86,3.72,,,,0.005376344086021506,0.03763440860215054,0.0913978494623656,0.11290322580645161,0.15053763440860216,0.16129032258064516,0.12365591397849462,0.10215053763440861,0.0967741935483871,0.053763440860215055,0.03763440860215054,0.005376344086021506,0.005376344086021506,,0.005376344086021506,0.005376344086021506,,0.005376344086021506,
162,186,0,16,1.86,3.72,,,,0.005376344086021506,0.03225806451612903,0.0913978494623656,0.11290322580645161,0.15591397849462366,0.15591397849462366,0.11290322580645161,0.11827956989247312,0.0913978494623656,0.05913978494623656,0.03763440860215054,0.005376344086021506,0.005376344086021506,,0.005376344086021506,0.005376344086021506,,0.005376344086021506,
163,186,0,15,1.86,3.72,,,,0.005376344086021506,0.026881720430107527,0.0967741935483871,0.10215053763440861,0.15053763440860216,0.16129032258064516,0.12365591397849462,0.11827956989247312,0.07526881720430108,0.06989247311827956,0.043010752688172046,,0.010752688172043012,,,0.005376344086021506,0.005376344086021506,0.005376344086021506,
164,185,0,15,1.85,3.7,,,,0.005405405405405406,0.02702702702702703,0.0918918918918919,0.10270270270270271,0.14594594594594595,0.17297297297297298,0.11891891891891893,0.11891891891891893,0.07027027027027027,0.07567567567567568,0.043243243243243246,0.005405405405405406,0.010810810810810811,,,,0.005405405405405406,0.005405405405405406,
165,185,0,15,1.85,3.7,,,,0.005405405405405406,0.02702702702702703,0.08648648648648649,0.10270270270270271,0.14054054054054055,0.16216216216216217,0.13513513513513514,0.12432432432432433,0.06486486486486487,0.08108108108108109,0.03783783783783784,0.010810810810810811,0.010810810810810811,,,,0.005405405405405406,0.005405405405405406,
166,185,0,15,1.85,3.7,,,,0.005405405405405406,0.016216216216216217,0.0918918918918919,0.10810810810810811,0.12972972972972974,0.16756756756756758,0.13513513513513514,0.12972972972972974,0.06486486486486487,0.07567567567567568,0.043243243243243246,0.010810810810810811,0.010810810810810811,,,,0.005405405405405406,0.005405405405405406,
167,185,0,15,1.85,3.7,,,,0.005405405405405406,0.016216216216216217,0.0918918918918919,0.0972972972972973,0.13513513513513514,0.17297297297297298,0.12972972972972974,0.12972972972972974,0.05945945945945946,0.07567567567567568,0.04864864864864865,0.016216216216216217,0.010810810810810811,,,,0.005405405405405406,0.005405405405405406,
168,185,0,16,1.85,3.7,,,,0.005405405405405406,0.016216216216216217,0.0918918918918919,0.0972972972972973,0.13513513513513514,0.14594594594594595,0.15675675675675677,0.11891891891891893,0.07027027027027027,0.06486486486486487,0.05405405405405406,0.021621621621621623,0.005405405405405406,0.005405405405405406,,,0.005405405405405406,0.005405405405405406,
169,185,0,16,1.85,3.7,,,,0.005405405405405406,0.016216216216216217,0.08648648648648649,0.0918918918918919,0.14594594594594595,0.14054054054054055,0.15675675675675677,0.11351351351351352,0.07027027027027027,0.06486486486486487,0.06486486486486487,0.016216216216216217,0.010810810810810811,0.005405405405405406,,,0.005405405405405406,,0.005405405405405406
170,185,0,16,1.85,3.7,,,,0.005405405405405406,0.016216216216216217,0.08648648648648649,0.0918918918918919,0.14054054054054055,0.13513513513513514,0.15135135135135136,0.11351351351351352,0.08648648648648649,0.06486486486486487,0.06486486486486487,0.016216216216216217,0.010810810810810811,0.005405405405405406,,,0.005405405405405406,,0.005405405405405406
171,184,0,16,1.84,3.68,,,,0.005434782608695652,0.010869565217391304,0.09239130434782608,0.09239130434782608,0.1358695652173913,0.13043478260869565,0.15760869565217392,0.11413043478260869,0.08695652173913043,0.05434782608695652,0.07608695652173914,0.016304347826086956,0.010869565217391304,0.005434782608695652,,,0.005434782608695652,,0.005434782608695652
172,183,0,16,1.83,3.66,,,,0.00546448087431694,0.01092896174863388,0.08743169398907104,0.09836065573770492,0.13114754098360656,0.1366120218579235,0.15300546448087432,0.1092896174863388,0.08743169398907104,0.060109289617486336,0.07650273224043716,0.01639344262295082,0.01092896174863388,0.00546448087431694,,,0.00546448087431694,,0.00546448087431694
173,183,0,16,1.83,3.66,,,,0.00546448087431694,0.00546448087431694,0.09289617486338798,0.09289617486338798,0.1366120218579235,0.1366120218579235,0.15300546448087432,0.10382513661202186,0.09289617486338798,0.060109289617486336,0.07650273224043716,0.01092896174863388,0.01639344262295082,0.00546448087431694,,,0.00546448087431694,,0.00546448087431694
174,183,0,16,1.83,3.66,,,,0.00546448087431694,0.00546448087431694,0.08743169398907104,0.07650273224043716,0.15300546448087432,0.1366120218579235,0.15300546448087432,0.10382513661202186,0.08196721311475409,0.07103825136612021,0.07650273224043716,0.01639344262295082,0.01092896174863388,0.01092896174863388,,,0.00546448087431694,,0.00546448087431694
175,183,0,16,1.83,3.66,,,,0.00546448087431694,0.00546448087431694,0.08196721311475409,0.07650273224043716,0.15300546448087432,0.13114754098360656,0.15846994535519127,0.09289617486338798,0.09289617486338798,0.07650273224043716,0.07103825136612021,0.02185792349726776,0.01092896174863388,0.01092896174863388,,,0.00546448087431694,,0.00546448087431694
176,183,0,16,1.83,3.66,,,,0.00546448087431694,0.00546448087431694,0.08196721311475409,0.07650273224043716,0.15300546448087432,0.13114754098360656,0.15300546448087432,0.09289617486338798,0.09289617486338798,0.07103825136612021,0.08196721311475409,0.02185792349726776,0.01092896174863388,0.01092896174863388,,,0.00546448087431694,,0.00546448087431694
177,183,0,16,1.83,3.66,,,,0.00546448087431694,0.00546448087431694,0.07103825136612021,0.08196721311475409,0.15300546448087432,0.1366120218579235,0.14754098360655737,0.09836065573770492,0.08743169398907104,0.07650273224043716,0.08196721311475409,0.02185792349726776,0.01092896174863388,0.01092896174863388,,,0.00546448087431694,,0.00546448087431694
178,182,0,16,1.82,3.64,,,,0.005494505494505495,0.005494505494505495,0.06043956043956044,0.08791208791208792,0.14835164835164835,0.13736263736263737,0.13736263736263737,0.10989010989010989,0.06043956043956044,0.1043956043956044,0.08791208791208792,0.02197802197802198,0.01098901098901099,0.01098901098901099,,,0.005494505494505495,,0.005494505494505495
179,182,0,16,1.82,3.64,,,,0.005494505494505495,0.005494505494505495,0.06043956043956044,0.08241758241758242,0.13736263736263737,0.15384615384615385,0.13736263736263737,0.10989010989010989,0.06043956043956044,0.0989010989010989,0.08241758241758242,0.03296703296703297,0.01098901098901099,0.01098901098901099,,,0.005494505494505495,,0.005494505494505495
180,180,0,15,1.8,3.6,,,,,0.011111111111111112,0.06111111111111111,0.08333333333333333,0.13333333333333333,0.15555555555555556,0.14444444444444443,0.10555555555555556,0.05555555555555555,0.1,0.07222222222222222,0.044444444444444446,0.011111111111111112,0.011111111111111112,,,0.005555555555555556,,0.005555555555555556
181,179,0,15,1.79,3.58,,,,,0.0111731843575419,0.061452513966480445,0.0782122905027933,0.13966480446927373,0.1452513966480447,0.13966480446927373,0.11173184357541899,0.0446927374301676,0.11731843575418995,0.07262569832402235,0.0446927374301676,0.0111731843575419,0.0111731843575419,,,0.00558659217877095,,0.00558659217877095
182,179,0,15,1.79,3.58,,,,,0.0111731843575419,0.061452513966480445,0.07262569832402235,0.1452513966480447,0.13966480446927373,0.1340782122905028,0.11731843575418995,0.03910614525139665,0.12849162011173185,0.07262569832402235,0.0446927374301676,0.0111731843575419,0.0111731843575419,,,0.00558659217877095,,0.00558659217877095
183,178,0,15,1.78,3.56,,,,,0.011235955056179775,0.06179775280898876,0.06741573033707865,0.14606741573033707,0.1348314606741573,0.11797752808988764,0.1348314606741573,0.03932584269662921,0.12359550561797752,0.08426966292134831,0.03932584269662921,0.011235955056179775,0.016853932584269662,,,0.0056179775280898875,,0.0056179775280898875
184,178,0,15,1.78,3.56,,,,,0.011235955056179775,0.06179775280898876,0.06179775280898876,0.14606741573033707,0.12921348314606743,0.12921348314606743,0.12921348314606743,0.0449438202247191,0.11797752808988764,0.0898876404494382,0.03932584269662921,0.0056179775280898875,0.02247191011235955,,,0.0056179775280898875,,0.0056179775280898875
185,178,0,15,1.78,3.56,,,,,0.011235955056179775,0.06179775280898876,0.06179775280898876,0.1404494382022472,0.12921348314606743,0.12921348314606743,0.11797752808988764,0.05056179775280899,0.12921348314606743,0.0898876404494382,0.03932584269662921,0.0056179775280898875,0.02247191011235955,,,0.0056179775280898875,,0.0056179775280898875
186,178,0,15,1.78,3.56,,,,,0.011235955056179775,0.056179775280898875,0.06179775280898876,0.1348314606741573,0.1348314606741573,0.1348314606741573,0.11235955056179775,0.056179775280898875,0.12921348314606743,0.0898876404494382,0.03932584269662921,0.0056179775280898875,0.02247191011235955,,,0.0056179775280898875,,0.0056179775280898875
187,178,0,15,1.78,3.56,,,,,0.011235955056179775,0.056179775280898875,0.06179775280898876,0.12359550561797752,0.12359550561797752,0.1404494382022472,0.12921348314606743,0.056179775280898875,0.12359550561797752,0.09550561797752809,0.028089887640449437,0.016853932584269662,0.02247191011235955,,,0.0056179775280898875,,0.0056179775280898875
188,177,0,15,1.77,3.54,,,,,0.011299435028248588,0.05649717514124294,0.05649717514124294,0.11299435028248588,0.11864406779661017,0.15254237288135594,0.13559322033898305,0.05649717514124294,0.11864406779661017,0.096045197740113,0.02824858757062147,0.022598870056497175,0.022598870056497175,,,0.005649717514124294,,0.005649717514124294
189,177,0,15,1.77,3.54,,,,,0.011299435028248588,0.05649717514124294,0.05649717514124294,0.10734463276836158,0.12429378531073447,0.14124293785310735,0.14689265536723164,0.05084745762711865,0.11864406779661017,0.1016949152542373,0.022598870056497175,0.02824858757062147,0.022598870056497175,,,0.005649717514124294,,0.005649717514124294
190,177,0,15,1.77,3.54,,,,,0.005649717514124294,0.05649717514124294,0.05649717514124294,0.11299435028248588,0.11864406779661017,0.14689265536723164,0.14689265536723164,0.04519774011299435,0.12429378531073447,0.1016949152542373,0.022598870056497175,0.022598870056497175,0.02824858757062147,,,0.005649717514124294,,0.005649717514124294
191,177,0,14,1.77,3.54,,,,,,0.062146892655367235,0.05649717514124294,0.10734463276836158,0.11864406779661017,0.15254237288135594,0.14124293785310735,0.03954802259887006,0.13559322033898305,0.0903954802259887,0.03389830508474576,0.022598870056497175,0.02824858757062147,,,0.005649717514124294,,0.005649717514124294
192,176,0,14,1.76,3.52,,,,,,0.0625,0.056818181818181816,0.10795454545454546,0.11931818181818182,0.14204545454545456,0.13636363636363635,0.056818181818181816,0.125,0.07954545454545454,0.05113636363636364,0.022727272727272728,0.028409090909090908,,,0.005681818181818182,,0.005681818181818182
193,175,0,14,1.75,3.5,,,,,,0.06285714285714286,0.05714285714285714,0.09714285714285714,0.12571428571428572,0.13142857142857142,0.14857142857142858,0.05714285714285714,0.12,0.08,0.05714285714285714,0.022857142857142857,0.02857142857142857,,,0.005714285714285714,,0.005714285714285714
194,174,0,14,1.74,3.48,,,,,,0.06321839080459771,0.05747126436781609,0.09770114942528736,0.12643678160919541,0.13218390804597702,0.14942528735632185,0.04597701149425287,0.13218390804597702,0.08045977011494253,0.05172413793103448,0.022988505747126436,0.028735632183908046,,,0.005747126436781609,,0.005747126436781609
195,174,0,14,1.74,3.48,,,,,,0.06321839080459771,0.05747126436781609,0.08620689655172414,0.12643678160919541,0.12643678160919541,0.16091954022988506,0.05172413793103448,0.12643678160919541,0.08045977011494253,0.05747126436781609,0.022988505747126436,0.028735632183908046,,,0.005747126436781609,,0.005747126436781609
196,173,0,15,1.73,3.46,,,,,,0.057803468208092484,0.057803468208092484,0.08670520231213873,0.12716763005780346,0.11560693641618497,0.17341040462427745,0.046242774566473986,0.12716763005780346,0.08092485549132948,0.06358381502890173,0.023121387283236993,0.023121387283236993,0.005780346820809248,,0.005780346820809248,,0.005780346820809248
197,172,0,15,1.72,3.44,,,,,,0.05813953488372093,0.05813953488372093,0.0872093023255814,0.12790697674418605,0.11627906976744186,0.1744186046511628,0.046511627906976744,0.12790697674418605,0.06976744186046512,0.05813953488372093,0.03488372093023256,0.023255813953488372,0.005813953488372093,,0.005813953488372093,,0.005813953488372093
198,171,0,15,1.71,3.42,,,,,,0.05263157894736842,0.05263157894736842,0.0935672514619883,0.12280701754385964,0.11695906432748537,0.16374269005847952,0.06432748538011696,0.11695906432748537,0.07017543859649122,0.05847953216374269,0.04678362573099415,0.017543859649122806,0.011695906432748537,,0.005847953216374269,,0.005847953216374269
199,169,0,14,1.69,3.38,,,,,,0.05325443786982249,0.05325443786982249,0.08875739644970414,0.11834319526627218,0.1301775147928994,0.14792899408284024,0.07100591715976332,0.11242603550295859,0.08284023668639054,0.05917159763313609,0.04142011834319527,0.023668639053254437,0.011834319526627219,,,,0.005917159763313609
